Job ID,Job Title,Company,Industry,Company Size,Country,City,Remote Type,Employment Type,Experience Level,Minimum Experience (Years),Annual Salary,Currency,Skills Required,Number of Applicants,Job Posted Date,Education Requirement,Department,Company Rating,Hiring Status,Job Category
JOB-1001,Senior Data Scientist,Boeing,Aerospace,10001+,United States,Denver,Remote,Full-time,Entry Level,0,158000,USD,"Statistics, Deep Learning, Machine Learning",299,2024-03-08,Master's,Data Science,3.8,Open,Data
JOB-1002,Site Reliability Engineer,Microsoft,Technology,10001+,India,Pune,Remote,Part-time,Senior Level,5,4482000,INR,"Linux, Monitoring, Kubernetes",334,2023-10-12,Bachelor's,Engineering,4.7,Open,Software
JOB-1003,Senior Data Scientist,EY,Consulting,10001+,Canada,Toronto,Hybrid,Full-time,Entry Level,1,115000,CAD,"Deep Learning, PyTorch, Statistics, Python, Machine Learning",193,2024-01-06,Bachelor's,Data Science,4.1,Open,Data
JOB-1004,Data Architect,DoorDash,Food Delivery,1001-5000,United States,Atlanta,Hybrid,Full-time,Mid Level,4,176000,USD,"Spark, SQL, Azure",112,2023-03-15,Bachelor's,Engineering,3.9,Closed,Data
JOB-1005,Backend Engineer,BlackRock,Finance,5001-10000,Ireland,Dublin,Remote,Contract,Senior Level,5,116000,EUR,"AWS, Redis, Java, Node.js, SQL",377,2023-10-02,Master's,Engineering,4.2,Open,Software
JOB-1006,Business Analyst,Snowflake,Technology,1001-5000,United States,Boston,Remote,Internship,Mid Level,4,105000,USD,"Requirements Gathering, Power BI, SQL, Excel",71,2024-01-06,Bachelor's,Analytics,4.5,Open,Business
JOB-1007,Senior Data Analyst,Lyft,Transportation,1001-5000,Germany,Berlin,Hybrid,Full-time,Entry Level,1,87000,EUR,"Python, R, Power BI",138,2023-01-12,Bachelor's,Analytics,3.8,On Hold,Data
JOB-1008,Business Analyst,DoorDash,Food Delivery,1001-5000,India,Pune,Hybrid,Full-time,Entry Level,2,2075000,INR,"SQL, Tableau, Excel, Power BI",235,2023-07-02,Master's,Analytics,3.9,Open,Business
JOB-1009,Senior Product Manager,PayPal,Fintech,10001+,Canada,Toronto,Onsite,Contract,Executive,20,208000,CAD,"SQL, Leadership, Product Strategy",108,2023-04-25,MBA,Product,3.9,Closed,Business
JOB-1010,Senior Data Analyst,Twilio,Software,1001-5000,United Kingdom,London,Hybrid,Full-time,Senior Level,6,94000,GBP,"Statistics, SQL, R, Tableau",62,2023-09-29,Master's,Analytics,4.2,Filled,Data
JOB-1011,Data Architect,Zoom,Software,1001-5000,United States,Denver,Remote,Full-time,Mid Level,4,167000,USD,"Python, AWS, Azure, Data Modeling, Spark, SQL",61,2023-01-08,Bachelor's,Engineering,3.9,Open,Data
JOB-1012,Data Scientist,McKinsey & Company,Consulting,10001+,United States,Boston,Remote,Full-time,Senior Level,8,142000,USD,"SQL, TensorFlow, Machine Learning, R",98,2023-04-07,PhD,Data Science,4.0,Open,Data
JOB-1013,Senior Data Analyst,Slack,Software,1001-5000,France,Paris,Remote,Full-time,Director,11,100000,EUR,"SQL, Power BI, Tableau",169,2023-07-07,PhD,Analytics,4.3,On Hold,Data
JOB-1014,Senior Data Scientist,Pfizer,Healthcare,10001+,United States,Seattle,Onsite,Full-time,Director,11,189000,USD,"Statistics, PyTorch, Python",146,2024-02-15,PhD,Data Science,3.8,Open,Data
JOB-1015,Full Stack Engineer,HubSpot,Software,1001-5000,United States,Washington DC,Remote,Full-time,Mid Level,2,153000,USD,"SQL, Node.js, AWS, JavaScript, Python",10,2023-02-28,Bachelor's,Engineering,4.4,On Hold,Software
JOB-1016,Cloud Engineer,Meta,Technology,10001+,Singapore,Singapore,Hybrid,Full-time,Director,14,117000,SGD,"Azure, AWS, Kubernetes",337,2023-02-10,MBA,Engineering,4.1,Open,Software
JOB-1017,Analytics Engineer,Deloitte,Consulting,10001+,India,Mumbai,Remote,Full-time,Entry Level,2,2656000,INR,"Python, SQL, Snowflake",148,2023-03-16,Bachelor's,Engineering,4.2,Open,Data
JOB-1018,Site Reliability Engineer,Apple,Technology,10001+,India,Hyderabad,Hybrid,Internship,Director,11,3984000,INR,"Linux, AWS, Kubernetes",405,2023-11-06,Bachelor's,Engineering,4.6,Closed,Software
JOB-1019,Site Reliability Engineer,Walmart,Retail,10001+,United States,Austin,Hybrid,Contract,Senior Level,6,171000,USD,"Kubernetes, Python, Monitoring, Linux",61,2023-07-28,Master's,Engineering,3.3,Open,Software
JOB-1020,Data Scientist,Meta,Technology,10001+,United States,Chicago,Hybrid,Contract,Senior Level,8,151000,USD,"SQL, Python, Statistics, Machine Learning, TensorFlow, R",525,2023-06-02,Master's,Data Science,4.5,Open,Data
JOB-1021,Data Engineer,JPMorgan Chase,Finance,10001+,India,Hyderabad,Onsite,Full-time,Mid Level,3,3652000,INR,"SQL, AWS, Python",133,2024-02-21,Bachelor's,Engineering,4.3,On Hold,Data
JOB-1022,Senior Data Engineer,Airbnb,Hospitality,1001-5000,United States,Atlanta,Remote,Contract,Entry Level,2,148000,USD,"Python, Spark, SQL, Kafka, dbt, Airflow",456,2023-08-16,Bachelor's,Engineering,3.8,Open,Data
JOB-1023,Data Analyst,Palantir,Technology,1001-5000,Netherlands,Amsterdam,Remote,Internship,Mid Level,5,81000,EUR,"Excel, Tableau, Power BI, SQL",324,2023-01-29,Master's,Analytics,3.6,Open,Data
JOB-1024,Senior Data Scientist,Amazon,E-Commerce,10001+,Canada,Vancouver,Hybrid,Full-time,Entry Level,0,139000,CAD,"Deep Learning, Statistics, SQL, PyTorch, Python, Machine Learning",591,2023-07-21,Bachelor's,Data Science,3.8,Closed,Data
JOB-1025,Software Engineer,Ford,Automotive,10001+,Singapore,Singapore,Hybrid,Contract,Mid Level,5,112000,SGD,"AWS, JavaScript, Git",157,2024-01-24,Master's,Engineering,3.8,Open,Software
JOB-1026,Site Reliability Engineer,KPMG,Consulting,10001+,India,Delhi,Onsite,Part-time,Senior Level,7,3984000,INR,"AWS, Linux, Kubernetes",152,2024-04-29,Bachelor's,Engineering,3.7,Closed,Software
JOB-1027,Cloud Engineer,Workday,Software,5001-10000,United States,Boston,Hybrid,Full-time,Entry Level,0,145000,USD,"AWS, Azure, GCP, Python, Terraform",53,2024-04-11,Master's,Engineering,3.9,Open,Software
JOB-1028,DevOps Engineer,EY,Consulting,10001+,United States,Chicago,Remote,Full-time,Senior Level,8,149000,USD,"Docker, Python, Kubernetes, AWS, Terraform, CI/CD",251,2024-04-12,Master's,Engineering,4.2,Open,Software
JOB-1029,Full Stack Engineer,Lyft,Transportation,1001-5000,United States,Atlanta,Hybrid,Full-time,Senior Level,7,167000,USD,"Node.js, SQL, React, Python, AWS, JavaScript",41,2023-10-09,Master's,Engineering,3.8,Open,Software
JOB-1030,Site Reliability Engineer,Deloitte,Consulting,10001+,India,Mumbai,Remote,Contract,Senior Level,6,3403000,INR,"Python, Linux, Kubernetes",93,2024-03-01,Bachelor's,Engineering,4.0,Open,Software
JOB-1031,Product Manager,Lyft,Transportation,1001-5000,Netherlands,Amsterdam,Hybrid,Full-time,Mid Level,5,130000,EUR,"Roadmapping, Product Strategy, SQL, Agile",224,2023-08-14,Master's,Product,3.4,Open,Business
JOB-1032,Financial Analyst,McKinsey & Company,Consulting,10001+,India,Mumbai,Remote,Full-time,Senior Level,5,2075000,INR,"Power BI, Financial Modeling, Forecasting, Excel, SQL",10,2023-07-06,Master's,Finance,4.2,Open,Business
JOB-1033,Strategy Analyst,McKinsey & Company,Consulting,10001+,United Kingdom,London,Onsite,Full-time,Entry Level,2,61000,GBP,"PowerPoint, Market Research, SQL, Excel",352,2023-03-12,Bachelor's,Strategy,4.0,Closed,Business
JOB-1034,Data Analyst,Databricks,Technology,1001-5000,United States,Austin,Onsite,Full-time,Senior Level,6,97000,USD,"Python, Statistics, Excel, Tableau",244,2023-04-28,Bachelor's,Analytics,4.8,Open,Data
JOB-1035,Product Manager,ServiceNow,Software,10001+,Canada,Vancouver,Onsite,Full-time,Senior Level,6,126000,CAD,"Roadmapping, Analytics, Agile, Product Strategy, SQL",291,2023-05-04,PhD,Product,3.9,Open,Business
JOB-1036,Senior Software Engineer,Walmart,Retail,10001+,Japan,Tokyo,Onsite,Full-time,Mid Level,5,17820000,JPY,"Kubernetes, System Design, Python",456,2024-04-15,Master's,Engineering,3.4,Closed,Software
JOB-1037,Site Reliability Engineer,Ford,Automotive,10001+,India,Bangalore,Hybrid,Full-time,Director,9,3901000,INR,"Monitoring, Linux, AWS, Python",11,2024-01-24,PhD,Engineering,3.9,Open,Software
JOB-1038,Senior Software Engineer,Snowflake,Technology,1001-5000,United Kingdom,Manchester,Hybrid,Full-time,Director,9,154000,GBP,"System Design, AWS, Kubernetes, SQL, Python",91,2023-09-04,Bachelor's,Engineering,4.5,Open,Software
JOB-1039,Data Architect,Netflix,Entertainment,1001-5000,Canada,Vancouver,Remote,Full-time,Mid Level,4,164000,CAD,"Azure, Spark, AWS, Python",246,2024-04-09,Bachelor's,Engineering,4.2,Open,Data
JOB-1040,Senior Data Scientist,Deloitte,Consulting,10001+,Australia,Melbourne,Remote,Full-time,Senior Level,7,188000,AUD,"Machine Learning, Statistics, SQL, PyTorch",312,2024-01-05,Master's,Data Science,3.8,Open,Data
